2012-06-20 13:08:14,652 | INFO  |  |  | main | MLog - MLog clients using log4j logging.
2012-06-20 13:08:17,028 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_CHANGE_USER_LOCATION_EVENT
2012-06-20 13:08:17,028 | INFO  |  |  | Thread-2 | GameServer - loading class: ChatController$1
2012-06-20 13:08:17,032 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: ChatController$1.class
2012-06-20 13:08:17,032 | INFO  |  |  | Thread-2 | GameServer - loading class: ChatController
2012-06-20 13:08:17,062 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_CHAT_EVENT
2012-06-20 13:08:17,062 | INFO  |  |  | Thread-2 | GameServer - loading class: CriticalStructureActionController$1
2012-06-20 13:08:17,066 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: CriticalStructureActionController$1.class
2012-06-20 13:08:17,066 | INFO  |  |  | Thread-2 | GameServer - loading class: CriticalStructureActionController
2012-06-20 13:08:17,099 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_CRIT_STRUCTURE_ACTION_EVENT
2012-06-20 13:08:17,100 | INFO  |  |  | Thread-2 | GameServer - loading class: EarnFreeDiamondsController$1
2012-06-20 13:08:17,133 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: EarnFreeDiamondsController$1.class
2012-06-20 13:08:17,133 | INFO  |  |  | Thread-2 | GameServer - loading class: EarnFreeDiamondsController
2012-06-20 13:08:17,254 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_EARN_FREE_DIAMONDS
2012-06-20 13:08:17,254 | INFO  |  |  | Thread-2 | GameServer - loading class: EnableAPNSController$1
2012-06-20 13:08:17,258 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: EnableAPNSController$1.class
2012-06-20 13:08:17,258 | INFO  |  |  | Thread-2 | GameServer - loading class: EnableAPNSController
2012-06-20 13:08:17,290 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_ENABLE_APNS_EVENT
2012-06-20 13:08:17,290 | INFO  |  |  | Thread-2 | GameServer - loading class: EquipEquipmentController$1
2012-06-20 13:08:17,294 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: EquipEquipmentController$1.class
2012-06-20 13:08:17,294 | INFO  |  |  | Thread-2 | GameServer - loading class: EquipEquipmentController
2012-06-20 13:08:17,334 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_EQUIP_EQUIPMENT_EVENT
2012-06-20 13:08:17,334 | INFO  |  |  | Thread-2 | GameServer - loading class: EventController$1
2012-06-20 13:08:17,334 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: EventController$1.class
2012-06-20 13:08:17,334 | INFO  |  |  | Thread-2 | GameServer - loading class: ExpansionWaitCompleteController$1
2012-06-20 13:08:17,344 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: ExpansionWaitCompleteController$1.class
2012-06-20 13:08:17,345 | INFO  |  |  | Thread-2 | GameServer - loading class: ExpansionWaitCompleteController
2012-06-20 13:08:17,400 | DEBUG |  |  | main | CityRetrieveUtils - setting static map of cityIds to city
2012-06-20 13:08:17,407 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_EXPANSION_WAIT_COMPLETE_EVENT
2012-06-20 13:08:17,407 | INFO  |  |  | Thread-2 | GameServer - loading class: FinishNormStructWaittimeWithDiamondsController$1
2012-06-20 13:08:17,413 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: FinishNormStructWaittimeWithDiamondsController$1.class
2012-06-20 13:08:17,413 | INFO  |  |  | Thread-2 | GameServer - loading class: FinishNormStructWaittimeWithDiamondsController
2012-06-20 13:08:17,493 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_FINISH_NORM_STRUCT_WAITTIME_WITH_DIAMONDS_EVENT
2012-06-20 13:08:17,493 | INFO  |  |  | Thread-2 | GameServer - loading class: GenerateAttackListController$1
2012-06-20 13:08:17,531 | DEBUG |  |  | main | DefeatTypeJobRetrieveUtils - setting static map of defeat type job ids to defeat type jobs
2012-06-20 13:08:17,535 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: GenerateAttackListController$1.class
2012-06-20 13:08:17,536 | INFO  |  |  | Thread-2 | GameServer - loading class: GenerateAttackListController
2012-06-20 13:08:17,601 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_GENERATE_ATTACK_LIST_EVENT
2012-06-20 13:08:17,601 | INFO  |  |  | Thread-2 | GameServer - loading class: InAppPurchaseController$1
2012-06-20 13:08:17,613 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: InAppPurchaseController$1.class
2012-06-20 13:08:17,614 | INFO  |  |  | Thread-2 | GameServer - loading class: InAppPurchaseController
2012-06-20 13:08:17,676 | DEBUG |  |  | main | EquipmentRetrieveUtils - setting static map of equipIds to equipment
2012-06-20 13:08:17,683 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_IN_APP_PURCHASE_EVENT
2012-06-20 13:08:17,684 | INFO  |  |  | Thread-2 | GameServer - loading class: LevelUpController$1
2012-06-20 13:08:17,689 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: LevelUpController$1.class
2012-06-20 13:08:17,689 | INFO  |  |  | Thread-2 | GameServer - loading class: LevelUpController
2012-06-20 13:08:17,772 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_LEVEL_UP_EVENT
2012-06-20 13:08:17,772 | INFO  |  |  | Thread-2 | GameServer - loading class: LoadNeutralCityController$1
2012-06-20 13:08:17,776 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: LoadNeutralCityController$1.class
2012-06-20 13:08:17,776 | INFO  |  |  | Thread-2 | GameServer - loading class: LoadNeutralCityController
2012-06-20 13:08:17,868 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_LOAD_NEUTRAL_CITY_EVENT
2012-06-20 13:08:17,868 | INFO  |  |  | Thread-2 | GameServer - loading class: LoadPlayerCityController$1
2012-06-20 13:08:17,918 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: LoadPlayerCityController$1.class
2012-06-20 13:08:17,918 | INFO  |  |  | Thread-2 | GameServer - loading class: LoadPlayerCityController
2012-06-20 13:08:17,989 | DEBUG |  |  | main | QuestRetrieveUtils - setting static quest graph
2012-06-20 13:08:17,998 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_LOAD_PLAYER_CITY_EVENT
2012-06-20 13:08:17,998 | INFO  |  |  | Thread-2 | GameServer - loading class: MoveOrRotateNormStructureController$1
2012-06-20 13:08:18,003 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: MoveOrRotateNormStructureController$1.class
2012-06-20 13:08:18,003 | INFO  |  |  | Thread-2 | GameServer - loading class: MoveOrRotateNormStructureController
2012-06-20 13:08:18,047 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_MOVE_OR_ROTATE_NORM_STRUCTURE_EVENT
2012-06-20 13:08:18,047 | INFO  |  |  | Thread-2 | GameServer - loading class: NormStructWaitCompleteController$1
2012-06-20 13:08:18,052 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: NormStructWaitCompleteController$1.class
2012-06-20 13:08:18,053 | INFO  |  |  | Thread-2 | GameServer - loading class: NormStructWaitCompleteController
2012-06-20 13:08:18,114 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_NORM_STRUCT_WAIT_COMPLETE_EVENT
2012-06-20 13:08:18,114 | INFO  |  |  | Thread-2 | GameServer - loading class: PostOnPlayerWallController$1
2012-06-20 13:08:18,118 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: PostOnPlayerWallController$1.class
2012-06-20 13:08:18,118 | INFO  |  |  | Thread-2 | GameServer - loading class: PostOnPlayerWallController
2012-06-20 13:08:18,172 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_POST_ON_PLAYER_WALL
2012-06-20 13:08:18,173 | INFO  |  |  | Thread-2 | GameServer - loading class: PostToMarketplaceController$1
2012-06-20 13:08:18,181 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: PostToMarketplaceController$1.class
2012-06-20 13:08:18,181 | INFO  |  |  | Thread-2 | GameServer - loading class: PostToMarketplaceController
2012-06-20 13:08:18,250 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_POST_TO_MARKETPLACE_EVENT
2012-06-20 13:08:18,251 | INFO  |  |  | Thread-2 | GameServer - loading class: PurchaseCityExpansionController$1
2012-06-20 13:08:18,288 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: PurchaseCityExpansionController$1.class
2012-06-20 13:08:18,288 | INFO  |  |  | Thread-2 | GameServer - loading class: PurchaseCityExpansionController
2012-06-20 13:08:18,342 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_PURCHASE_CITY_EXPANSION_EVENT
2012-06-20 13:08:18,342 | INFO  |  |  | Thread-2 | GameServer - loading class: PurchaseFromMarketplaceController$1
2012-06-20 13:08:18,355 | DEBUG |  |  | main | QuestRetrieveUtils - setting static map of questIds to quests
2012-06-20 13:08:18,359 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: PurchaseFromMarketplaceController$1.class
2012-06-20 13:08:18,359 | INFO  |  |  | Thread-2 | GameServer - loading class: PurchaseFromMarketplaceController
2012-06-20 13:08:18,424 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_PURCHASE_FROM_MARKETPLACE_EVENT
2012-06-20 13:08:18,424 | INFO  |  |  | Thread-2 | GameServer - loading class: PurchaseMarketplaceLicenseController$1
2012-06-20 13:08:18,428 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: PurchaseMarketplaceLicenseController$1.class
2012-06-20 13:08:18,429 | INFO  |  |  | Thread-2 | GameServer - loading class: PurchaseMarketplaceLicenseController
2012-06-20 13:08:18,478 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_PURCHASE_MARKETPLACE_LICENSE_EVENT
2012-06-20 13:08:18,478 | INFO  |  |  | Thread-2 | GameServer - loading class: PurchaseNormStructureController$1
2012-06-20 13:08:18,491 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: PurchaseNormStructureController$1.class
2012-06-20 13:08:18,492 | INFO  |  |  | Thread-2 | GameServer - loading class: PurchaseNormStructureController
2012-06-20 13:08:18,556 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_PURCHASE_NORM_STRUCTURE_EVENT
2012-06-20 13:08:18,556 | INFO  |  |  | Thread-2 | GameServer - loading class: QuestAcceptController$1
2012-06-20 13:08:18,559 | DEBUG |  |  | main | TaskEquipReqRetrieveUtils - setting static map of taskId to equipment/quantity map
2012-06-20 13:08:18,564 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: QuestAcceptController$1.class
2012-06-20 13:08:18,564 | INFO  |  |  | Thread-2 | GameServer - loading class: QuestAcceptController
2012-06-20 13:08:18,622 | DEBUG |  |  | main | TaskRetrieveUtils - setting static map of cityId to tasks
2012-06-20 13:08:18,629 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_QUEST_ACCEPT_EVENT
2012-06-20 13:08:18,629 | INFO  |  |  | Thread-2 | GameServer - loading class: QuestRedeemController$1
2012-06-20 13:08:18,634 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: QuestRedeemController$1.class
2012-06-20 13:08:18,634 | INFO  |  |  | Thread-2 | GameServer - loading class: QuestRedeemController
2012-06-20 13:08:18,678 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_QUEST_REDEEM_EVENT
2012-06-20 13:08:18,678 | INFO  |  |  | Thread-2 | GameServer - loading class: RedeemMarketplaceEarningsController$1
2012-06-20 13:08:18,691 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RedeemMarketplaceEarningsController$1.class
2012-06-20 13:08:18,691 | INFO  |  |  | Thread-2 | GameServer - loading class: RedeemMarketplaceEarningsController
2012-06-20 13:08:18,732 | DEBUG |  |  | main | TaskRetrieveUtils - setting static map of taskIds to tasks
2012-06-20 13:08:18,741 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_REDEEM_MARKETPLACE_EARNINGS_EVENT
2012-06-20 13:08:18,741 | INFO  |  |  | Thread-2 | GameServer - loading class: RefillStatWaitCompleteController$1
2012-06-20 13:08:18,745 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RefillStatWaitCompleteController$1.class
2012-06-20 13:08:18,745 | INFO  |  |  | Thread-2 | GameServer - loading class: RefillStatWaitCompleteController
2012-06-20 13:08:18,790 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_REFILL_STAT_WAIT_COMPLETE_EVENT
2012-06-20 13:08:18,790 | INFO  |  |  | Thread-2 | GameServer - loading class: RefillStatWithDiamondsController$1
2012-06-20 13:08:18,794 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RefillStatWithDiamondsController$1.class
2012-06-20 13:08:18,794 | INFO  |  |  | Thread-2 | GameServer - loading class: RefillStatWithDiamondsController
2012-06-20 13:08:18,834 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_REFILL_STAT_WITH_DIAMONDS_EVENT
2012-06-20 13:08:18,834 | INFO  |  |  | Thread-2 | GameServer - loading class: RetractMarketplacePostController$1
2012-06-20 13:08:18,846 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RetractMarketplacePostController$1.class
2012-06-20 13:08:18,846 | INFO  |  |  | Thread-2 | GameServer - loading class: RetractMarketplacePostController
2012-06-20 13:08:18,893 | DEBUG |  |  | main | UpgradeStructJobRetrieveUtils - setting static map of upgrade struct job id to upgrade struct job
2012-06-20 13:08:18,912 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_RETRACT_POST_FROM_MARKETPLACE_EVENT
2012-06-20 13:08:18,912 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveCurrencyFromNormStructureController$1
2012-06-20 13:08:18,918 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RetrieveCurrencyFromNormStructureController$1.class
2012-06-20 13:08:18,918 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveCurrencyFromNormStructureController
2012-06-20 13:08:18,991 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_RETRIEVE_CURRENCY_FROM_NORM_STRUCTURE_EVENT
2012-06-20 13:08:18,991 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveCurrentMarketplacePostsController$1
2012-06-20 13:08:19,009 | DEBUG |  |  | main | StructureRetrieveUtils - setting static map of structIds to structs
2012-06-20 13:08:19,013 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RetrieveCurrentMarketplacePostsController$1.class
2012-06-20 13:08:19,013 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveCurrentMarketplacePostsController
2012-06-20 13:08:19,062 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_RETRIEVE_CURRENT_MARKETPLACE_POSTS_EVENT
2012-06-20 13:08:19,062 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrievePlayerWallPostsController$1
2012-06-20 13:08:19,093 | DEBUG |  |  | main | PossessEquipJobRetrieveUtils - setting static map of possess equip job id to possess equip job
2012-06-20 13:08:19,096 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RetrievePlayerWallPostsController$1.class
2012-06-20 13:08:19,096 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrievePlayerWallPostsController
2012-06-20 13:08:19,138 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_RETRIEVE_PLAYER_WALL_POSTS
2012-06-20 13:08:19,139 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveStaticDataController$1
2012-06-20 13:08:19,150 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RetrieveStaticDataController$1.class
2012-06-20 13:08:19,150 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveStaticDataController
2012-06-20 13:08:19,154 | DEBUG |  |  | main | LevelsRequiredExperienceRetrieveUtils - setting static map of levels to required experience for levels
2012-06-20 13:08:19,218 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_RETRIEVE_STATIC_DATA_EVENT
2012-06-20 13:08:19,218 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveStaticDataForShopController$1
2012-06-20 13:08:19,236 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RetrieveStaticDataForShopController$1.class
2012-06-20 13:08:19,236 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveStaticDataForShopController
2012-06-20 13:08:19,241 | DEBUG |  |  | main | NeutralCityElementsRetrieveUtils - setting static map of city id to neutral city elements for city
2012-06-20 13:08:19,297 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_RETRIEVE_STATIC_DATA_FOR_SHOP_EVENT
2012-06-20 13:08:19,297 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveUserEquipForUserController$1
2012-06-20 13:08:19,304 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RetrieveUserEquipForUserController$1.class
2012-06-20 13:08:19,304 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveUserEquipForUserController
2012-06-20 13:08:19,373 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_RETRIEVE_USER_EQUIP_FOR_USER
2012-06-20 13:08:19,373 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveUsersForUserIdsController$1
2012-06-20 13:08:19,380 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: RetrieveUsersForUserIdsController$1.class
2012-06-20 13:08:19,380 | INFO  |  |  | Thread-2 | GameServer - loading class: RetrieveUsersForUserIdsController
2012-06-20 13:08:19,419 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_RETRIEVE_USERS_FOR_USER_IDS_EVENT
2012-06-20 13:08:19,419 | INFO  |  |  | Thread-2 | GameServer - loading class: SellNormStructureController$1
2012-06-20 13:08:19,425 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: SellNormStructureController$1.class
2012-06-20 13:08:19,425 | INFO  |  |  | Thread-2 | GameServer - loading class: SellNormStructureController
2012-06-20 13:08:19,464 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_SELL_NORM_STRUCTURE_EVENT
2012-06-20 13:08:19,464 | INFO  |  |  | Thread-2 | GameServer - loading class: StartupController$1
2012-06-20 13:08:19,469 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: StartupController$1.class
2012-06-20 13:08:19,469 | INFO  |  |  | Thread-2 | GameServer - loading class: StartupController
2012-06-20 13:08:19,591 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_STARTUP_EVENT
2012-06-20 13:08:19,591 | INFO  |  |  | Thread-2 | GameServer - loading class: TaskActionController$1
2012-06-20 13:08:19,596 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: TaskActionController$1.class
2012-06-20 13:08:19,596 | INFO  |  |  | Thread-2 | GameServer - loading class: TaskActionController
2012-06-20 13:08:19,700 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_TASK_ACTION_EVENT
2012-06-20 13:08:19,700 | INFO  |  |  | Thread-2 | GameServer - loading class: UpgradeNormStructureController$1
2012-06-20 13:08:19,704 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: UpgradeNormStructureController$1.class
2012-06-20 13:08:19,704 | INFO  |  |  | Thread-2 | GameServer - loading class: UpgradeNormStructureController
2012-06-20 13:08:19,752 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_UPGRADE_NORM_STRUCTURE_EVENT
2012-06-20 13:08:19,752 | INFO  |  |  | Thread-2 | GameServer - loading class: UserCreateController$1
2012-06-20 13:08:19,756 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: UserCreateController$1.class
2012-06-20 13:08:19,756 | INFO  |  |  | Thread-2 | GameServer - loading class: UserCreateController
2012-06-20 13:08:19,856 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_USER_CREATE_EVENT
2012-06-20 13:08:19,856 | INFO  |  |  | Thread-2 | GameServer - loading class: UserQuestDetailsController$1
2012-06-20 13:08:19,867 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: UserQuestDetailsController$1.class
2012-06-20 13:08:19,867 | INFO  |  |  | Thread-2 | GameServer - loading class: UserQuestDetailsController
2012-06-20 13:08:19,912 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_USER_QUEST_DETAILS_EVENT
2012-06-20 13:08:19,912 | INFO  |  |  | Thread-2 | GameServer - loading class: UseSkillPointController$1
2012-06-20 13:08:19,917 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: UseSkillPointController$1.class
2012-06-20 13:08:19,917 | INFO  |  |  | Thread-2 | GameServer - loading class: UseSkillPointController
2012-06-20 13:08:19,960 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_USE_SKILL_POINT_EVENT
2012-06-20 13:08:19,960 | INFO  |  |  | Thread-2 | GameServer - loading class: VaultController$1
2012-06-20 13:08:19,965 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: VaultController$1.class
2012-06-20 13:08:19,965 | INFO  |  |  | Thread-2 | GameServer - loading class: VaultController
2012-06-20 13:08:20,021 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_VAULT_EVENT
2012-06-20 13:08:20,021 | INFO  |  |  | Thread-2 | GameServer - initServerSocket : Initializing server socket
2012-06-20 13:08:20,063 | INFO  |  |  | Thread-2 | GameServer - binding to address: 10.1.10.10
2012-06-20 13:08:20,159 | INFO  |  |  | Thread-2 | GameServer - ******** GameServer running ********
2012-06-20 13:14:14,467 | INFO  |  |  | Thread-2 | GameServer - received connection from: /10.1.10.20
2012-06-20 13:14:16,266 | INFO  |  |  | Thread-11 | Attachment - Read event type: C_STARTUP_EVENT and size: 77
2012-06-20 13:14:16,568 | DEBUG |  |  | Thread-11 | SelectAndRead - new pre-db player, udid: 42d1cadaa64dbf3c3e8133e652a2df06
2012-06-20 13:14:16,589 | INFO  |  |  | StartupController2 | EventController - Received event: com.lvl6.events.request.StartupRequestEvent@bbef5e8
2012-06-20 13:14:18,364 | DEBUG | 42d1cadaa64dbf3c3e8133e652a2df06 | /10.1.10.20 | StartupController2 | UserRetrieveUtils - retrieving user with udid 42d1cadaa64dbf3c3e8133e652a2df06
2012-06-20 13:14:18,683 | DEBUG | 42d1cadaa64dbf3c3e8133e652a2df06 | /10.1.10.20 | StartupController2 | UserCityRetrieveUtils - retrieving city id to user city rank map for userId 2596
2012-06-20 13:14:18,740 | DEBUG | 42d1cadaa64dbf3c3e8133e652a2df06 | /10.1.10.20 | StartupController2 | UserTaskRetrieveUtils - retrieving task id to num times acted in rank map for userId 2596
2012-06-20 13:14:18,771 | DEBUG | 42d1cadaa64dbf3c3e8133e652a2df06 | /10.1.10.20 | StartupController2 | CityRetrieveUtils - retrieving all cities data
2012-06-20 13:14:18,945 | DEBUG | 42d1cadaa64dbf3c3e8133e652a2df06 | /10.1.10.20 | StartupController2 | TaskRetrieveUtils - retrieving all tasks for cityId 1
2012-06-20 13:14:18,968 | DEBUG | 42d1cadaa64dbf3c3e8133e652a2df06 | /10.1.10.20 | StartupController2 | TaskRetrieveUtils - retrieving all tasks for cityId 1
2012-06-20 13:14:18,990 | DEBUG | 42d1cadaa64dbf3c3e8133e652a2df06 | /10.1.10.20 | StartupController2 | TaskRetrieveUtils - retrieving all tasks for cityId 2
2012-06-20 13:14:18,991 | DEBUG | 42d1cadaa64dbf3c3e8133e652a2df06 | /10.1.10.20 | StartupController2 | TaskRetrieveUtils - retrieving all tasks for cityId 2
2012-06-20 13:14:18,992 | DEBUG | 42d1cadaa64dbf3c3e8133e652a2df06 | /10.1.10.20 | StartupController2 | TaskRetrieveUtils - retrieving all tasks for cityId 3
