DB ID:,Level:,Item Name: ,Rarity:,Weapon Type:,Pick This:,,DB ID:,Level:,Item Name: ,Rarity:,Weapon Type:,Pick This:,,DB ID:,Level:,Item Name: ,Rarity:,Weapon Type:,Pick This:
21,16,Cloud's Edge,Rare,Weapon,,,140,16,Headhunter,Rare,Weapon,,,205,16,Soul Stealer,Rare,Weapon,x
22,16,Anti-Mage,Rare,Weapon,x,,141,16,Trueshot,Rare,Weapon,,,206,16,Orb of Infinity,Rare,Weapon,
23,16,Manta,Epic,Weapon,,,142,16,Achilles' Bane,Epic,Weapon,,,207,16,Dragon's Essence,Epic,Weapon,x
24,21,Great Sword,Common,Weapon,x,,143,21,Straight Bow,Common,Weapon,,,208,21,Staff of Oblivion,Common,Weapon,
25,21,Rapier,Common,Weapon,,,144,21,Robin's Bow,Common,Weapon,x,,209,21,Great Wand,Common,Weapon,
26,21,Gladius,Uncommon,Weapon,,,145,21,Recurve Bow,Uncommon,Weapon,,,210,21,Igniter,Uncommon,Weapon,x
27,21,Crusader's Sword,Uncommon,Weapon,x,,146,21,Swift Bow,Uncommon,Weapon,,,211,21,Lunar Wand,Uncommon,Weapon,
28,21,Laguna Blade,Rare,Weapon,,,147,21,Inferno's Bow,Rare,Weapon,,,212,21,Crimson,Rare,Weapon,x
29,21,Slayer,Rare,Weapon,,,148,21,Matriarch,Rare,Weapon,x,,213,21,Dark Swarm,Rare,Weapon,
30,21,Butcher,Epic,Weapon,x,,149,21,Legend's End,Epic,Weapon,,,214,21,Crystal Scepter,Epic,Weapon,
31,26,Mariner's Sword,Common,Weapon,,,150,26,Great Bow,Common,Weapon,x,,215,26,Greater Orb,Common,Weapon,
32,26,Talwar,Common,Weapon,,,151,26,Reflex Bow,Common,Weapon,,,216,26,Staff of Chen,Common,Weapon,x
33,26,Quelling Blade,Uncommon,Weapon,,,152,26,Trolius's Bow,Uncommon,Weapon,x,,217,26,Orb of Orion,Uncommon,Weapon,
34,26,Tiberius,Uncommon,Weapon,,,153,26,Te-Bow,Uncommon,Weapon,x,,218,26,Force of Nature,Uncommon,Weapon,
35,26,Sange,Rare,Weapon,,,154,26,Windrunner,Rare,Weapon,,,219,26,Hell's Gate,Rare,Weapon,x
36,26,Yasha,Rare,Weapon,,,155,26,Death's Messenger,Rare,Weapon,x,,220,26,Merlin's End,Rare,Weapon,
37,26,Mirage,Rare,Weapon,x,,156,26,Whisperer,Rare,Weapon,,,221,26,Book of Shadows,Rare,Weapon,
38,26,Bloodseeker,Epic,Weapon,,,157,26,Heartseeker,Epic,Weapon,x,,222,26,Soulseeker,Epic,Weapon,
39,26,Knighthood,Epic,Weapon,,,158,26,Heaven's Gate,Epic,Weapon,,,223,26,Touch of Death,Epic,Weapon,x
41,1,Broken Shield,Common,Armor,x,,159,1,Hand Guard,Common,Armor,,,224,1,Cloth Tunic,Common,Armor,
42,1,Leather Gloves,Common,Armor,,,160,1,Leg Guard,Common,Armor,x,,225,1,Novice's Robe,Common,Armor,
43,1,Stout Shield,Uncommon,Armor,,,161,1,Clothe Tunic,Uncommon,Armor,,,226,1,Runed Cape,Uncommon,Armor,x
44,6,Wooden Shield,Common,Armor,,,162,6,Cloth Belt,Common,Armor,x,,227,6,Cloth Tabard,Common,Armor,
45,6,Leather Pants,Uncommon,Armor,x,,163,6,Leather Helmet,Uncommon,Armor,,,228,6,Magic Bracers,Uncommon,Armor,
46,6,Dragon Shield,Rare,Armor,,,164,6,Runed Gloves,Rare,Armor,x,,229,6,Robe of Resilience,Rare,Armor,
47,11,Worn Helmet,Common,Armor,,,165,11,Cloth Boots,Common,Armor,x,,230,11,Wizard Hat,Common,Armor,
48,11,Captain's Belt,Uncommon,Armor,x,,166,11,Leather Boots,Uncommon,Armor,,,231,11,Arcane Boots,Uncommon,Armor,
49,11,Fenrir's Gauntlets,Rare,Armor,,,167,11,Glove of Haste,Rare,Armor,x,,232,11,Hood of Defiance,Rare,Armor,
50,11,Avenger's Armor,Epic,Armor,,,168,11,Windrunner's Cloak,Epic,Armor,,,233,11,Helm of Anubis,Epic,Armor,x
51,16,Chainmail,Common,Armor,,,169,16,Cloth Veil,Common,Armor,x,,234,16,Bard's Tunic,Common,Armor,
67,16,Captain's Boots,Uncommon,Armor,x,,170,16,Leather Belt,Uncommon,Armor,,,235,16,Magic Sandals,Uncommon,Armor,
68,16,Rocket Boots,Rare,Armor,,,171,16,Runed Vest,Rare,Armor,,,236,16,Robe of Shadows,Rare,Armor,x
69,16,Vanguard,Rare,Armor,,,172,16,Phase Boots,Rare,Armor,x,,237,16,Invisibility Cloak,Rare,Armor,
70,16,Golden Helm,Epic,Armor,x,,173,16,Ironside,Epic,Armor,,,238,16,Arch Angel,Epic,Armor,
71,21,Platemail,Common,Armor,,,174,21,Cloth Hood,Common,Armor,x,,239,21,Runed Tunic,Common,Armor,
72,21,Prophet's Gloves,Uncommon,Armor,x,,175,21,Runed Helm,Uncommon,Armor,,,240,21,Tabard of Might,Uncommon,Armor,
73,21,Spellbreaker,Rare,Armor,x,,176,21,Runed Veil,Rare,Armor,,,241,21,Robe of Tesla,Rare,Armor,
74,21,Dragon's Heart,Rare,Armor,,,177,21,Wraith Band,Rare,Armor,x,,242,21,Planewalker's Cloak,Rare,Armor,
75,21,Mirror Force,Epic,Armor,,,178,21,Helm of Domination,Epic,Armor,x,,243,21,Cape of Darkness,Epic,Armor,
76,26,Bronzemail,Common,Armor,x,,179,26,Leather Hood,Common,Armor,,,244,26,Robe of the Magi,Common,Armor,
77,26,Warrior's Helm,Uncommon,Armor,,,180,26,Rune Tunic,Uncommon,Armor,,,245,26,Batwing Cloak,Uncommon,Armor,x
78,26,Blademail,Rare,Armor,,,181,26,Dragonskin Vest,Rare,Armor,x,,246,26,Robe of Masters,Rare,Armor,
79,26,Battle Cuirass,Rare,Armor,x,,182,26,Gladiator Tunic,Rare,Armor,,,247,26,Heaven's Cloak,Rare,Armor,
80,26,Blue Moon,Epic,Armor,,,183,26,Heart's Guard,Epic,Armor,x,,248,26,Black Lotus,Epic,Armor,
81,26,Resurrection,Epic,Armor,,,184,26,Elune's Veil,Epic,Armor,,,249,26,Demon's Ace,Epic,Armor,x
284,31,Danny's Shortsword,Common,Weapon,x,,301,31,Bow of Might,Common,Weapon,,,314,31,Skeletal Rod,Common,Weapon,
285,31,Hammer of Might,Common,Weapon,,,302,31,Steelstring,Common,Weapon,x,,315,31,Necromancer's Staff,Common,Weapon,
287,31,Thorn's Edge,Uncommon,Weapon,,,304,31,True Strike,Uncommon,Weapon,,,316,31,Orb of Makarov,Uncommon,Weapon,x
288,31,Titanium,Rare,Weapon,x,,305,31,Death's Kiss,Rare,Weapon,,,317,31,Judgement,Rare,Weapon,
289,31,Machida,Epic,Weapon,,,306,31,Black Widow,Epic,Weapon,,,318,31,Fairy Law,Epic,Weapon,x
290,31,Lesser Shield,Common,Armor,x,,307,31,Lesser Hood,Common,Armor,,,319,31,Lesser Robe,Common,Armor,
291,31,Dani's Guard,Common,Armor,,,308,31,Cloak Of Mediocrity,Common,Armor,x,,320,31,Sorcerer's Tunic,Common,Armor,
292,31,Flash,Uncommon,Armor,,,309,31,Gloves of Dexterity,Uncommon,Armor,x,,321,31,Phantom's Cloak,Uncommon,Armor,
293,31,Goliath,Rare,Armor,,,310,31,Helm of Defiance,Rare,Armor,x,,322,31,Grandmaster's Tunic,Rare,Armor,
294,31,Susano,Epic,Armor,x,,311,31,Mask of Death,Epic,Armor,,,323,31,Robe of Makarov,Epic,Armor,
324,41,Ogre Sword,Common,Weapon,,,340,41,Bow of Agility,Common,Weapon,,,351,41,Backstab,Common,Weapon,x
325,41,Sword of Nobility,Common,Weapon,,,341,41,Mithril Bow,Common,Weapon,x,,352,41,Greatwater Staff,Common,Weapon,
326,41,Energy Sword,Uncommon,Weapon,x,,342,41,Split Shot,Uncommon,Weapon,,,353,41,Shadowdance Wand,Uncommon,Weapon,
327,41,Blade of Heaven,Rare,Weapon,,,343,41,Firefly,Rare,Weapon,x,,354,41,Haunt,Rare,Weapon,
328,41,Blade of the Abyss,Rare,Weapon,x,,344,41,The Messenger,Rare,Weapon,,,355,41,Rupture,Rare,Weapon,
329,41,Psi Blade,Epic,Weapon,,,345,41,Heartstopper,Epic,Weapon,x,,356,41,Illuminate,Epic,Weapon,
330,41,Ironwood Armor,Common,Armor,,,346,41,Ether Cloak,Common,Armor,,,357,41,Living Armor,Common,Armor,x
331,41,Combat Armor,Uncommon,Armor,,,347,41,Static Helm,Uncommon,Armor,x,,358,41,The Offering,Uncommon,Armor,
332,41,Tsunami Shield,Rare,Armor,,,348,41,Gloves of Refraction,Rare,Armor,,,359,41,Shallow Grave,Rare,Armor,x
333,41,Guard of Corruption,Rare,Armor,x,,349,41,Supernova,Rare,Armor,,,360,41,Shadowraze,Rare,Armor,
334,41,Mammoth's Heart,Epic,Armor,,,350,41,Natural Order,Epic,Armor,,,361,41,Glimpse,Epic,Armor,x
363,51,Sword of Discord,Common,Weapon,,,379,51,Corrosive Bow,Common,Weapon,x,,390,51,Crackin' Wand,Common,Weapon,
364,51,Powerhouse Sword,Common,Weapon,x,,380,51,Bow of Exuberance,Common,Weapon,,,391,51,Hypnotic Wand,Common,Weapon,
365,51,Sword of Fortitude,Uncommon,Weapon,,,381,51,Bow of Vitality,Uncommon,Weapon,,,392,51,Spine Splicer,Uncommon,Weapon,x
366,51,Sleight of Hand,Rare,Weapon,,,382,51,Windseeker,Rare,Weapon,x,,393,51,Staff of the Oracle,Rare,Weapon,
367,51,Black King Sword,Rare,Weapon,x,,383,51,Synergy,Rare,Weapon,,,394,51,Dying Breath,Rare,Weapon,
368,51,Guardian Angel,Epic,Weapon,,,384,51,Valkyrie,Epic,Weapon,,,395,51,Rest In Peace,Epic,Weapon,x
369,51,Armor of Assurance,Common,Armor,,,385,51,Tusk Hide Gloves,Common,Armor,,,396,51,Robe of Shen,Common,Armor,x
370,51,Shield of Echoes,Uncommon,Armor,,,386,51,Chakra Gloves,Uncommon,Armor,x,,397,51,Split Earth Robe,Uncommon,Armor,
371,51,Steamroller,Rare,Armor,,,387,51,Morning Shadow,Rare,Armor,,,398,51,The Contender,Rare,Armor,x
372,51,Guard of Salvation,Rare,Armor,x,,388,51,Star Fury,Rare,Armor,,,399,51,Sweet Nothing,Rare,Armor,
373,51,Aegis of Immortal,Epic,Armor,,,389,51,Dark Phoenix,Epic,Armor,,,400,51,Haymaker,Epic,Armor,x
